Link: https://www.naturalnews.com/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
0,0,0,0

Source,Followers,Date,Interactions,Post Type,Link
Ogólnopolskie Stowarzyszenie Wiedzy o Szczepieniach STOP NOP,0,Mon Sep 01 2014 10:41:11 GMT+0000,199,Facebook,https://www.facebook.com/206336526060450/posts/886216571405772
Puppy Happiness,895165,Wed May 17 2017 22:00:03 GMT+0000,197,Facebook,https://www.facebook.com/200480987029017/posts/275687199508395
Jeanette Wilson,0,Mon Oct 07 2019 12:53:14 GMT+0000,193,Facebook,https://www.facebook.com/358706397608861/posts/1903147016498117
Eco(R)esistenza,0,Mon Oct 26 2015 18:02:11 GMT+0000,193,Facebook,https://www.facebook.com/203737476337348/posts/1027872180590536
Puppies are Adorable,418174,Sat May 20 2017 11:15:07 GMT+0000,192,Facebook,https://www.facebook.com/1262723747153101/posts/1457569861001821
Gestión Del Nuevo Gobierno Y Sus Palmeros,3811,Sat Dec 07 2019 22:58:14 GMT+0000,190,Facebook,https://www.facebook.com/254941018423369/posts/537309650186503
Sağlıklı Yaşıyoruz,0,Wed Mar 09 2016 08:19:33 GMT+0000,190,Facebook,https://www.facebook.com/307166446059759/posts/856218974487834
Tina Griffin  Counter Culture Mom,0,Mon Oct 21 2019 21:00:15 GMT+0000,187,Facebook,https://www.facebook.com/183095341779359/posts/2477237222365148
Civilna iniciativa za prostovoljno cepljenje,0,Mon Aug 25 2014 16:35:02 GMT+0000,182,Facebook,https://www.facebook.com/1387151948198585/posts/1496614133919032
Thrive,0,Wed Apr 03 2013 22:31:04 GMT+0000,180,Facebook,https://www.facebook.com/204987926185574/posts/169479639874685
Fans Of Hal Lindsey And Prophecy,5871,Mon Feb 10 2020 17:44:33 GMT+0000,176,Facebook,https://www.facebook.com/groups/834182423364601/permalink/2879370978845725
Jim Corr,0,Sat Oct 19 2019 09:55:40 GMT+0000,169,Facebook,https://www.facebook.com/274944165201/posts/10157371426540202
Fox News Sean Hannity,9000,Fri Oct 18 2019 16:46:27 GMT+0000,166,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/2401683160093875
Tina Griffin  Counter Culture Mom,0,Mon Oct 28 2019 00:00:31 GMT+0000,165,Facebook,https://www.facebook.com/183095341779359/posts/2490835207672016
Fox News Sean Hannity,11157,Sat Nov 16 2019 03:54:47 GMT+0000,156,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/2429855587276632
Ara toca Som Valencians,11520,Sun Dec 08 2019 21:34:33 GMT+0000,154,Facebook,https://www.facebook.com/groups/514217382089873/permalink/1414285678749701
FOX NEWS with Tucker Carlson,18078,Sat Nov 09 2019 12:16:58 GMT+0000,150,Facebook,https://www.facebook.com/groups/1250734815048111/permalink/2614641941990718
Bobby Hemmitt,12598,Thu Oct 10 2019 14:35:22 GMT+0000,150,Facebook,https://www.facebook.com/groups/1473471652868646/permalink/2424705794411889
MundoDesconocido,0,Mon Oct 02 2017 21:54:31 GMT+0000,149,Facebook,https://www.facebook.com/128885870871010/posts/351342015292060
Permaculture,0,Mon Apr 15 2013 15:43:34 GMT+0000,145,Facebook,https://www.facebook.com/125412867497340/posts/449956765083810
Bruce H. Lipton  Ph.D,0,Mon Oct 07 2013 21:11:30 GMT+0000,144,Facebook,https://www.facebook.com/148810465133488/posts/716534128361116
Vaccine Skeptics & Medical Heretics,0,Wed Oct 05 2016 21:52:35 GMT+0000,144,Facebook,https://www.facebook.com/973069649412394/posts/1220609061325117
Red Alternativa Capitalista de Información,0,Thu Sep 28 2017 21:05:32 GMT+0000,142,Facebook,https://www.facebook.com/groups/1169379153153003/permalink/1557166294374285
Burzynski  The Movie,0,Thu May 12 2016 14:08:15 GMT+0000,139,Facebook,https://www.facebook.com/318281183441/posts/10154250179998442
Essential Talk to Wellness,0,Sun Oct 06 2019 13:35:18 GMT+0000,132,Facebook,https://www.facebook.com/143723115808865/posts/1425273587653805
Organic Lifestyle Magazine,0,Sat Jan 31 2015 21:40:55 GMT+0000,129,Facebook,https://www.facebook.com/24172443714/posts/10152651448653715
uncensored,0,Fri May 19 2017 06:21:33 GMT+0000,127,Facebook,https://www.facebook.com/101808513205745/posts/1313416982044886
For a Fossil Fuel Free California,0,Mon Oct 20 2014 23:23:45 GMT+0000,126,Facebook,https://www.facebook.com/394694300542763/posts/870028389676016
میدونستی؟,0,Sun Jan 20 2013 19:26:02 GMT+0000,124,Facebook,https://www.facebook.com/178391952228184/posts/408194539260821
Tautas Mediji,0,Wed Sep 09 2015 11:53:40 GMT+0000,122,Facebook,https://www.facebook.com/126120670895394/posts/479047948935996
Newsworthies,0,Sun Aug 18 2013 17:08:15 GMT+0000,121,Facebook,https://www.facebook.com/116727628853/posts/10151885889973854
GEÓLOKOS,8161,Tue Dec 10 2019 17:25:12 GMT+0000,121,Facebook,https://www.facebook.com/groups/226432607444910/permalink/2667012660053547
UK Geo-engineering... and stuff you ought'a know about!,2525,Mon Oct 07 2019 10:24:20 GMT+0000,119,Facebook,https://www.facebook.com/groups/300107833870025/permalink/514205609126912
Nubian Heritage,0,Thu Jun 05 2014 18:00:00 GMT+0000,119,Facebook,https://www.facebook.com/220354051317080/posts/793071614045318
Cancer Alternatives Awareness and Prevention.,0,Sun Feb 17 2019 12:40:30 GMT+0000,115,Facebook,https://www.facebook.com/756870594381675/posts/2104022466333141
Foodrising,0,Thu Jun 06 2019 10:25:10 GMT+0000,113,Facebook,https://www.facebook.com/609497599105238/posts/2184359911618991
[RECAP] Resistencia Capitalista,5384,Tue Sep 03 2019 22:43:53 GMT+0000,113,Facebook,https://www.facebook.com/groups/887305448023678/permalink/2455926194494921
Biocell formerly Babycell,0,Sun Sep 13 2015 08:30:01 GMT+0000,113,Facebook,https://www.facebook.com/118096611578673/posts/894240690630924
Planet X News Group,0,Mon Oct 14 2019 16:58:06 GMT+0000,113,Facebook,https://www.facebook.com/groups/2035129013447421/permalink/2153693551590966
2020 The New Declaration of Independence 2020,0,Fri Apr 03 2020 12:25:04 GMT+0000,112,Facebook,https://www.facebook.com/groups/219945989205935/permalink/225240425343158
End Times Prophecy Blog and Website,9205,Sun Oct 06 2019 21:21:59 GMT+0000,112,Facebook,https://www.facebook.com/groups/212192625481868/permalink/2754660287901743
Fox News Sean Hannity,12276,Tue Dec 03 2019 18:39:19 GMT+0000,112,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/2447322422196615
Khanadian Media,1440,Tue Sep 10 2019 18:13:27 GMT+0000,110,Facebook,https://www.facebook.com/524306587582630/posts/2670927316253869
"REFUSE TO BE PART OF THE SYSTEM",0,Fri Oct 18 2019 21:20:51 GMT+0000,104,Facebook,https://www.facebook.com/groups/417642091763183/permalink/1189786537882064
Arnica - Parents' Support Network  Promoting Natural Immunity,37207,Fri Oct 25 2019 08:37:41 GMT+0000,104,Facebook,https://www.facebook.com/groups/98258276788/permalink/10158495944436789
遺伝子組み換え食品なんかいらない,0,Tue Jan 01 2013 00:12:30 GMT+0000,104,Facebook,https://www.facebook.com/groups/324190947656460/permalink/401545646587656
AM Press,0,Mon Jan 11 2016 18:39:43 GMT+0000,103,Facebook,https://www.facebook.com/277977805610757/posts/996617643746766
KOL-gruppen,0,Mon Sep 25 2017 21:04:57 GMT+0000,99,Facebook,https://www.facebook.com/groups/36935407212/permalink/10154804825942213
Plant Monsters,0,Thu Jan 29 2015 23:29:50 GMT+0000,96,Facebook,https://www.facebook.com/262752340567996/posts/419691288207433
Keep America Great,0,Wed Mar 27 2019 17:05:54 GMT+0000,94,Facebook,https://www.facebook.com/436517896782232/posts/654273471673339
Fox News Sean Hannity,0,Thu Jul 11 2019 00:38:19 GMT+0000,93,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/2324874027774789
Oltáskritikus Életvédők Szövetsége - Vaccine Critics Life Protection Assoc.,7059,Wed Oct 28 2020 18:12:44 GMT+0000,92,Facebook,https://www.facebook.com/320566067971075/posts/4042761129084865
Stop geoengineering,0,Tue Oct 08 2019 12:18:21 GMT+0000,90,Facebook,https://www.facebook.com/1597572227225293/posts/2472613516387822
Fox News Sean Hannity,6788,Fri Sep 06 2019 19:46:35 GMT+0000,88,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/2366404180288440
Tribnet 7 000,8620,Sat Feb 08 2020 18:22:56 GMT+0000,87,Facebook,https://www.facebook.com/groups/1565432667044160/permalink/2452852561635495
Universo Nihmah,0,Sat Dec 21 2019 12:38:54 GMT+0000,87,Facebook,https://www.facebook.com/249059022225429/posts/819820985149227
Grupo de apoyo a VOX España,9343,Tue Dec 10 2019 11:19:17 GMT+0000,87,Facebook,https://www.facebook.com/groups/1919389284989076/permalink/2477229349205064
Oregonians for Healthcare Choice,0,Sat Sep 01 2018 17:25:59 GMT+0000,86,Facebook,https://www.facebook.com/337316776389390/posts/1831183180336068
Természetgyógyászat  'Dr. Weixl Várhegyi László módszereivel,14392,Wed Oct 28 2020 09:40:15 GMT+0000,86,Facebook,https://www.facebook.com/groups/1676925945875554/permalink/2892372664330870
The Minister Of Wellness,0,Thu Oct 31 2019 21:57:09 GMT+0000,86,Facebook,https://www.facebook.com/157152098310174/posts/413275192697862
Newsworthies,0,Sat Aug 31 2013 04:15:41 GMT+0000,86,Facebook,https://www.facebook.com/116727628853/posts/10151914566493854
STOP MANIPULACIÓN CLIMÁTICA,0,Thu Jul 04 2019 18:10:05 GMT+0000,85,Facebook,https://www.facebook.com/groups/763163347182062/permalink/1316242255207499
Anonymous Srbija,0,Sat Sep 20 2014 14:04:06 GMT+0000,84,Facebook,https://www.facebook.com/154243071354022/posts/587878681323790
Living off the Land,0,Sun Jul 29 2012 23:56:20 GMT+0000,84,Facebook,https://www.facebook.com/227433297335/posts/313801588715481
Pro Organic,0,Mon Feb 13 2012 05:23:51 GMT+0000,84,Facebook,https://www.facebook.com/105907189534363/posts/324897880894060
End Time Prophecy News,12112,Fri Apr 03 2020 09:39:57 GMT+0000,83,Facebook,https://www.facebook.com/groups/1627279890875901/permalink/2574131252857422
Chemtrails,0,Tue Dec 10 2019 17:23:05 GMT+0000,82,Facebook,https://www.facebook.com/groups/1421249468116946/permalink/2557051694536712
HILLARY MAKES ME SICK (c),3499,Mon Oct 07 2019 00:13:20 GMT+0000,82,Facebook,https://www.facebook.com/groups/1120015364746988/permalink/2533958413352669
ESTADIDAD: A FAVOR Y EN CONTRA,0,Wed Sep 18 2019 00:51:13 GMT+0000,81,Facebook,https://www.facebook.com/groups/295003560570472/permalink/3102141046523362
Organic Gardeners of WNC,0,Mon Apr 15 2013 15:30:39 GMT+0000,81,Facebook,https://www.facebook.com/345986338822804/posts/626205067393007
SciBabe,0,Fri Oct 03 2014 12:16:09 GMT+0000,80,Facebook,https://www.facebook.com/492861780850602/posts/514346372035476
Newsworthies,0,Sun Aug 18 2013 22:07:16 GMT+0000,80,Facebook,https://www.facebook.com/116727628853/posts/10151886496598854
Welcome  to the Thought  Revolution,0,Fri Mar 04 2016 05:12:46 GMT+0000,80,Facebook,https://www.facebook.com/229413103860306/posts/732376310230647
MARCH Against Monsanto Yucaipa,0,Sun Feb 09 2020 16:13:38 GMT+0000,80,Facebook,https://www.facebook.com/373955466070145/posts/1817536595045351
Revista Familia Ortodoxă,0,Sun Mar 01 2015 10:49:49 GMT+0000,79,Facebook,https://www.facebook.com/356296037818306/posts/747645628683343
Foodrising,0,Thu Jun 06 2019 12:25:12 GMT+0000,78,Facebook,https://www.facebook.com/609497599105238/posts/2184510951603887
Newsworthies,0,Fri Aug 30 2013 22:39:28 GMT+0000,78,Facebook,https://www.facebook.com/116727628853/posts/10151914139868854
Eco(R)esistenza,0,Thu Sep 24 2015 09:37:56 GMT+0000,77,Facebook,https://www.facebook.com/203737476337348/posts/1013846671993087
Pili Reyes,1210,Mon Sep 30 2019 19:58:44 GMT+0000,76,Facebook,https://www.facebook.com/694169797398618/posts/1461295347352722
SciBabe,0,Mon Sep 15 2014 12:42:03 GMT+0000,75,Facebook,https://www.facebook.com/492861780850602/posts/506869182783195
CANDACE OWENS FAN CLUB,8163,Sun Oct 20 2019 00:34:12 GMT+0000,75,Facebook,https://www.facebook.com/groups/845525742466504/permalink/982584565427287
TeslaNova,0,Mon Feb 17 2014 09:33:00 GMT+0000,75,Facebook,https://www.facebook.com/236978329705763/posts/660937207300900
وفِي أنفسكم أفلا تبصرون,0,Sat Nov 23 2019 04:11:03 GMT+0000,74,Facebook,https://www.facebook.com/583642192059866/posts/817116618712421
Arnica - Parents' Support Network  Promoting Natural Immunity,37190,Mon Oct 14 2019 18:58:45 GMT+0000,74,Facebook,https://www.facebook.com/groups/98258276788/permalink/10158459350466789
Foodrising,0,Tue Jun 04 2019 16:25:12 GMT+0000,73,Facebook,https://www.facebook.com/609497599105238/posts/2181329091922073
Gestión Del Nuevo Gobierno Y Sus Palmeros,3829,Thu Dec 12 2019 01:57:54 GMT+0000,71,Facebook,https://www.facebook.com/254941018423369/posts/540515836532551
Sănătate din natură !,0,Tue Feb 05 2019 16:00:25 GMT+0000,71,Facebook,https://www.facebook.com/groups/766467583503897/permalink/1200290720121579
TERRA "REAL TIME",0,Sat May 02 2015 17:31:19 GMT+0000,71,Facebook,https://www.facebook.com/208776375809817/posts/933550256665755
When The Ancients Speak,0,Thu Feb 06 2020 14:36:58 GMT+0000,71,Facebook,https://www.facebook.com/358137757550387/posts/2950685808295556
Fox News Sean Hannity,6865,Mon Sep 09 2019 11:34:03 GMT+0000,70,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/2367616143500577
Getting Well God's Way,0,Sun Nov 03 2019 01:42:24 GMT+0000,70,Facebook,https://www.facebook.com/425766154179592/posts/2551652258257627
Every Vaccine Causes Harm,0,Tue Oct 08 2019 02:43:47 GMT+0000,68,Facebook,https://www.facebook.com/913540035503422/posts/1143083892549034
Wihardja,0,Sun Dec 07 2014 04:00:00 GMT+0000,67,Facebook,https://www.facebook.com/712212642163714/posts/847736635277980
O dictatura medicala in Romania? NU  multumesc!,4687,Mon Oct 07 2019 17:01:54 GMT+0000,66,Facebook,https://www.facebook.com/groups/695576960543188/permalink/2061779813922889
Newsworthies,0,Fri Aug 30 2013 22:30:19 GMT+0000,66,Facebook,https://www.facebook.com/116727628853/posts/10151914125483854
STOP MANIPULACIÓN CLIMÁTICA,0,Fri Jul 05 2019 21:43:30 GMT+0000,65,Facebook,https://www.facebook.com/groups/763163347182062/permalink/1317049461793445
The Underground World News,0,Tue Mar 21 2017 16:32:44 GMT+0000,65,Facebook,https://www.facebook.com/113609758657478/posts/1471686439516463
Revista Familia Ortodoxă,0,Sun Mar 08 2015 18:04:39 GMT+0000,65,Facebook,https://www.facebook.com/356296037818306/posts/751733108274595
Make America Greater,2932,Tue Oct 08 2019 10:51:35 GMT+0000,65,Facebook,https://www.facebook.com/1600840463266204/posts/3051355441548025
Wir Sind Eins,0,Tue Sep 24 2013 07:54:40 GMT+0000,65,Facebook,https://www.facebook.com/286717981439518/posts/440254832752498
Food Warrior Network,0,Mon Nov 26 2012 22:34:37 GMT+0000,65,Facebook,https://www.facebook.com/261585103950718/posts/306310106135535
Fox News Sean Hannity,7574,Sun Sep 29 2019 00:59:44 GMT+0000,64,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/2384219778506880
Luigi Baratiri - La Nemesi Della Hybris,4920,Sat Sep 18 2021 14:41:11 GMT+0000,63,Facebook,https://www.facebook.com/1134470710069699/posts/1868162063367223
Counter Culture Mom,4201,Mon Oct 21 2019 21:00:15 GMT+0000,63,Facebook,https://www.facebook.com/groups/971321726272177/permalink/3169818133089181
John Michael Chambers Author,0,Fri Sep 28 2018 18:04:02 GMT+0000,63,Facebook,https://www.facebook.com/824005127705954/posts/1611121695660956
Sean Hannity Is Awesome,0,Mon Oct 07 2019 13:32:21 GMT+0000,63,Facebook,https://www.facebook.com/groups/349395258944792/permalink/497302460820737
Newsworthies,0,Mon Aug 19 2013 01:55:39 GMT+0000,62,Facebook,https://www.facebook.com/116727628853/posts/10151886884943854
Κίνηση Ελεύθερων Πολιτών - Ελεύθεροι Ξανά,0,Wed Jan 06 2021 10:32:50 GMT+0000,62,Facebook,https://www.facebook.com/groups/2567911009976543/permalink/3105826509518321
Oplysning om Aspartam,7245,Sun Aug 04 2019 11:50:51 GMT+0000,62,Facebook,https://www.facebook.com/607222032673858/posts/2532062850189757
Pro-Life Wisconsin,0,Fri Aug 09 2013 15:16:34 GMT+0000,62,Facebook,https://www.facebook.com/62050087491/posts/10151734179377492
Rise Of Health Consciousness,0,Sun Oct 06 2019 21:11:17 GMT+0000,61,Facebook,https://www.facebook.com/1636076513349670/posts/2210389399251709
Nueva Era la Verdad,0,Fri Sep 29 2017 00:26:19 GMT+0000,60,Facebook,https://www.facebook.com/329816940449185/posts/1370751623022373
CCHR International,0,Fri Jun 22 2012 17:42:18 GMT+0000,60,Facebook,https://www.facebook.com/119055084778508/posts/488660921151254
Freedom Europe - Demonstration mot tvångsvaccinering / tvångsmedicinering,0,Mon Feb 11 2019 13:07:53 GMT+0000,60,Facebook,https://www.facebook.com/groups/248684348965312/permalink/552225848611159
#Stop5G y HAARP Andorra,905,Wed Sep 29 2021 23:02:07 GMT+0000,59,Facebook,https://www.facebook.com/groups/225935888469433/permalink/544852596577759
Yamhill County Republicans,0,Fri Oct 11 2019 19:19:14 GMT+0000,59,Facebook,https://www.facebook.com/125399494271741/posts/1746715238806817
Birmingham Compassion Club - Our Public Page,0,Wed Oct 30 2019 09:59:21 GMT+0000,58,Facebook,https://www.facebook.com/1085920728122867/posts/2371930102855250
Cash Hyde Foundation,0,Wed Feb 06 2013 18:35:23 GMT+0000,58,Facebook,https://www.facebook.com/127415640667066/posts/141403112687567
Hispanos de Derecha en USA,0,Sat Jan 04 2020 14:27:23 GMT+0000,58,Facebook,https://www.facebook.com/529366294239284/posts/767701210405790
Egész -ség,11696,Sat Nov 28 2020 16:57:46 GMT+0000,58,Facebook,https://www.facebook.com/groups/1794965827253768/permalink/3534220263328307
THE REPUBLIC OF WESTERN CANADA PUBLIC INTEREST,9495,Thu Feb 13 2020 15:19:35 GMT+0000,58,Facebook,https://www.facebook.com/groups/1483323715310062/permalink/2217366178572475
Conspiracy Theorists Say The Darndest Things,0,Mon Jul 28 2014 08:55:06 GMT+0000,57,Facebook,https://www.facebook.com/408424822525750/posts/804175566284005
ILBHARAT ASSOCIAZIONE Gruppo di LUIGI BARATIRI,4547,Sat Sep 18 2021 15:04:20 GMT+0000,56,Facebook,https://www.facebook.com/groups/387314065716855/permalink/556044455510481
Dropping Truth Bombs,76030,Wed Nov 13 2019 00:35:22 GMT+0000,56,Facebook,https://www.facebook.com/2260596150835312/posts/2572163149678609
Colleen Coble,0,Thu Oct 18 2012 13:03:52 GMT+0000,56,Facebook,https://www.facebook.com/298682303532632/posts/421811651219696
Single Mama Money,32832,Sat Feb 08 2020 01:26:03 GMT+0000,55,Facebook,https://www.facebook.com/1748141922096647/posts/2580104838900347
Fox News Sean Hannity,0,Sun Apr 07 2019 12:48:03 GMT+0000,55,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/2258279467767579
Refutations to Anti-Vaccine Memes,0,Sun Jun 23 2013 17:59:59 GMT+0000,54,Facebook,https://www.facebook.com/414643305272351/posts/527618470641500
Yahoo奇摩購物,0,Fri Jun 20 2014 04:00:03 GMT+0000,54,Facebook,https://www.facebook.com/164121763623843/posts/705251309510883
Asturias con la Bandera,2199,Sun Sep 29 2019 19:14:44 GMT+0000,53,Facebook,https://www.facebook.com/groups/536482386515368/permalink/1909548459208747
Unpopular Facts,0,Thu Nov 21 2019 04:32:34 GMT+0000,52,Facebook,https://www.facebook.com/1997988750510422/posts/2146790312296931
Citizens For Legitimate Government group,1442,Wed Oct 16 2019 03:17:49 GMT+0000,50,Facebook,https://www.facebook.com/groups/298262134436478/permalink/401333860795971
Fukushima is here. Now.,0,Fri Jan 30 2015 15:18:46 GMT+0000,50,Facebook,https://www.facebook.com/556990321051142/posts/772656362817869
it's all about Jesus / plus,21381,Thu Oct 10 2019 13:03:38 GMT+0000,49,Facebook,https://www.facebook.com/groups/431110103698806/permalink/1556736454469493
Contra Vaccinarii,0,Tue Jan 29 2019 20:45:38 GMT+0000,49,Facebook,https://www.facebook.com/160113357771176/posts/611059106009930
Sisterhood of the Rose Planetary Network,10147,Mon Jan 20 2020 20:34:23 GMT+0000,49,Facebook,https://www.facebook.com/groups/242118535999353/permalink/1243760205835176
Khanadian Media,1461,Wed Nov 20 2019 09:36:32 GMT+0000,49,Facebook,https://www.facebook.com/524306587582630/posts/2822483361098263
Facebook Censorship- 1.0  In Question of a Class Action lawsuit,0,Mon Sep 24 2018 01:19:06 GMT+0000,49,Facebook,https://www.facebook.com/groups/1901353320180341/permalink/2081093132206358
Foodrising,0,Wed Jun 05 2019 12:25:11 GMT+0000,48,Facebook,https://www.facebook.com/609497599105238/posts/2182773735110942
Foodrising,0,Thu Jan 10 2019 01:05:27 GMT+0000,48,Facebook,https://www.facebook.com/609497599105238/posts/1969365176451800
Nobel Prize for Dr. Burzynski,0,Wed Jan 22 2014 09:00:37 GMT+0000,48,Facebook,https://www.facebook.com/121966587887509/posts/10200941635815018
SaveCalifornia.com,0,Wed Jan 17 2018 20:23:13 GMT+0000,48,Facebook,https://www.facebook.com/49935764351/posts/10155274739929352
الاستشفاء الذاتي  Self Healing,15133,Sat Apr 25 2020 16:49:01 GMT+0000,48,Facebook,https://www.facebook.com/groups/171139839738916/permalink/1366695693516652
UNIVERSIDAD PEDAGÓGICA NACIONAL,0,Sat Jan 04 2020 16:10:01 GMT+0000,48,Facebook,https://www.facebook.com/groups/661570327260450/permalink/2890436451040482
Oplysning om Aspartam,7297,Wed Jun 19 2019 14:44:53 GMT+0000,48,Facebook,https://www.facebook.com/607222032673858/posts/2449328581796518
